Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,Matthews Corr. Coeff.
27,0.20224567112984793,1.5820720007170201,0.9366666666666666,0.73,0.7598333333333334,0.73,0.71,0.7288942961247938
28,0.23418807606347164,1.016591924104049,0.9333333333333333,0.795,0.8431666666666667,0.795,0.7843809523809524,0.7939725686001902
29,0.12743001869610815,1.148186921686412,0.9633333333333334,0.75,0.7851666666666668,0.75,0.7365714285714285,0.7488375102241389
30,0.1922779385745423,1.1310873954987708,0.9433333333333334,0.765,0.7979999999999999,0.765,0.7472619047619048,0.7638424346799624
31,0.14456957374402163,1.0278922068478982,0.9666666666666667,0.76,0.7826666666666665,0.76,0.7385238095238097,0.7590146491999978
32,0.1641160845220589,1.096625694712505,0.9466666666666667,0.77,0.8128809523809524,0.77,0.7549841269841271,0.7691933405370871
33,0.08739295423900263,0.9013325480042856,0.9833333333333333,0.785,0.8228181818181818,0.785,0.7741483516483518,0.7846732450380735
34,0.1396809149420892,1.3222861773458277,0.9666666666666667,0.705,0.766047619047619,0.705,0.6935079365079366,0.7044257608753647
35,0.15438289014139406,1.1773141110259877,0.95,0.735,0.7510000000000001,0.735,0.704857142857143,0.7339188309309087
36,0.14789393391227493,1.7423970755736178,0.9666666666666667,0.66,0.6872864357864359,0.66,0.6328417138417137,0.6594697207708252
37,0.2476900497361633,1.325156127820351,0.9466666666666667,0.75,0.8250555555555557,0.75,0.7488268398268398,0.7493694900518851
38,0.14609739944894135,0.878920475445999,0.9533333333333334,0.81,0.8485238095238096,0.81,0.7994920634920635,0.8090825657572845
39,0.1331388903184502,1.2506895901208774,0.96,0.735,0.7744365079365079,0.735,0.7200728715728717,0.7342913974968265
40,0.0780896140219005,0.9268225546547316,0.9766666666666667,0.795,0.8421666666666667,0.795,0.7847619047619048,0.7943749263864176
41,0.14735650224356459,0.9313280345076739,0.95,0.78,0.7996666666666666,0.78,0.7610952380952383,0.7788405582021697
42,0.06062857869738892,0.9629654112061872,0.9833333333333333,0.825,0.8501904761904763,0.825,0.8104920634920635,0.8242528638652336
43,0.0990480952853733,0.8065723396743124,0.9733333333333334,0.81,0.8288333333333333,0.81,0.7957619047619048,0.8090006499358984
44,0.05661640683454901,1.0074484533325019,0.9833333333333333,0.78,0.8041666666666667,0.78,0.7618333333333334,0.7788602804279792
45,0.08540201749266614,0.8791861612630618,0.98,0.805,0.8471666666666668,0.805,0.7967619047619047,0.803903703220931
46,0.10467486869315341,0.8114986789249963,0.9633333333333334,0.82,0.8456666666666667,0.82,0.8057142857142858,0.8190095187659441
47,0.05995035637042655,0.761070819773536,0.98,0.815,0.84,0.815,0.7980000000000002,0.8139950995789741
48,0.09111828360854829,1.2771615313953846,0.9766666666666667,0.8,0.8513809523809525,0.8,0.7899365079365078,0.7995765069973622
49,0.12148309514971911,1.1534395411849296,0.97,0.78,0.7996515151515153,0.78,0.7602197802197801,0.7796108370055698
50,0.06116207425664063,1.6619558705211097,0.9866666666666667,0.75,0.8018333333333334,0.75,0.7348809523809524,0.7497501705387463
